#################################################################
# Scaling factors supplied by Silvia Piantelli to normalise E789
# light output to 2nd campaign light output: for protons
# Currently this has been done for the 52 MeV/u data
#################################################################
RunList:          15000-45999 83000-127999
SignalIn:			TotLight
SignalOut:			ScaledTotLight
CalibType:			CsILightScaling
CalibOptions:		func=(x-[2])*[0]+[1],min=0,max=50000
ZRange:           1
CSI_0601: 0.975, 0, 0
CSI_0602: 0.925, 0, 0
CSI_0604: 1.125, 0, 0
CSI_0605: 1.2, 0, 0
CSI_0606: 1, 0, 0
CSI_0607: 0.825, 0, 0
CSI_0608: 1.025, 0, 0
CSI_0610: 1.275, 0, 0
CSI_0611: 1.425, 0, 0
CSI_0613: 1.275, 0, 0
CSI_0614: 1.25, 0, 0
CSI_0615: 1.05, 0, 0
CSI_0616: 1.175, 0, 0
CSI_0617: 1.075, 0, 0
CSI_0618: 0.925, 0, 0
CSI_0619: 1.125, 0, 0
CSI_0620: 1.15, 0, 0
CSI_0621: 0.8, 0, 0
CSI_0623: 1.8, 0, 0
CSI_0624: 0.825, 0, 0
CSI_0701: 0.9, 0, 0
CSI_0702: 1.675, 0, 0
CSI_0703: 1.025, 0, 0
CSI_0704: 0.775, 252.5, 275.644684
CSI_0705: 0.75, 0, 0
CSI_0706: 1.225, 0, 0
CSI_0707: 0.85, 0, 0
CSI_0708: 0.8, 0, 0
CSI_0709: 1.125, 0, 0
CSI_0710: 1.35, 0, 0
CSI_0711: 1.825, 0, 0
CSI_0712: 0.75, 0, 0
CSI_0713: 0.925, 0, 0
CSI_0714: 1, 0, 0
CSI_0715: 1.05, 0, 0
CSI_0716: 1.575, 0, 0
CSI_0717: 1.875, 0, 0
CSI_0718: 0.45, 0, 0
CSI_0719: 1.8, 0, 0
CSI_0720: 1.4, 0, 0
CSI_0721: 1.125, 0, 0
CSI_0722: 1.125, 0, 0
CSI_0723: 0.925, 0, 0
CSI_0724: 0.975, 0, 0
CSI_0801: 1.65, 0, 0
CSI_0802: 1.25, 0, 0
CSI_0803: 1.1, 0, 0
CSI_0804: 1.05, 0, 0
CSI_0805: 1.175, 0, 0
CSI_0806: 1.175, 0, 0
CSI_0807: 1.55, 0, 0
CSI_0808: 1.025, 0, 0
CSI_0810: 1.225, 0, 0
CSI_0811: 0.975, 0, 0
CSI_0812: 1.5, 0, 0
CSI_0813: 1.175, 0, 0
CSI_0814: 1.15, 0, 0
CSI_0815: 1, 0, 0
CSI_0816: 1.175, 0, 0
CSI_0818: 0.925, 0, 0
CSI_0819: 0.825, 0, 0
CSI_0820: 1.2, 0, 0
CSI_0821: 1.825, 0, 0
CSI_0822: 1, 0, 0
CSI_0823: 1, 0, 0
CSI_0824: 0.95, 0, 0
CSI_0901: 1, 0, 0
CSI_0902: 1.475, 0, 0
CSI_0903: 1.075, 0, 0
CSI_0904: 1.65, 0, 0
CSI_0905: 1.375, 0, 0
CSI_0906: 1, 0, 0
CSI_0907: 1.9, 0, 0
CSI_0908: 2, 0, 0
CSI_0909: 1, 0, 0
CSI_0910: 1.4, 252.363881, 247.707721
CSI_0911: 1.675, 0, 0
CSI_0912: 1.925, 0, 0
CSI_0913: 1.8, 0, 0
CSI_0914: 2.725, 167.5, 215.114597
CSI_0915: 1, 0, 0
CSI_0916: 0.725, 0, 0
CSI_0917: 1.875, 0, 0
CSI_0918: 1.55, 0, 0
CSI_0919: 1.625, 0, 0
CSI_0920: 1.925, 0, 0
CSI_0921: 1.8, 0, 0
CSI_0922: 1, 0, 0
CSI_0923: 2.475, 212.5, 229.083079
CSI_0924: 2.275, 0, 0
CSI_1001: 1.525, 0, 0
CSI_1003: 1.325, 0, 0
CSI_1004: 0.85, 0, 0
CSI_1005: 1.15, 0, 0
CSI_1006: 1.4, 0, 0
CSI_1007: 1.375, 0, 0
CSI_1008: 1.55, 0, 0
CSI_1009: 1.325, 0, 0
CSI_1011: 1, 0, 0
CSI_1012: 2.075, 167.5, 205.802276
CSI_1013: 1, 0, 0
CSI_1014: 1.875, 0, 0
CSI_1016: 1.2, 0, 0
CSI_1017: 1, 0, 0
CSI_1018: 3.125, 172.5, 177.865313
CSI_1019: 1.575, 0, 0
CSI_1020: 0.825, 0, 0
CSI_1021: 1, 0, 0
CSI_1022: 2.225, 187.5, 117.335226
CSI_1023: 1.75, 75.429781, 80.085942
CSI_1024: 1.65, 0, 0
CSI_1101: 1.25, 159.240671, 117.335226
CSI_1102: 2.625, 149.92835, 154.58451
CSI_1104: 1.625, 98.710584, 103.366744
CSI_1105: 0.475, 159.240671, 135.959868
CSI_1106: 1, 0, 0
CSI_1107: 0.575, 233.739239, 163.896831
CSI_1108: 1.25, 98.710584, 103.366744
CSI_1109: 1.35, 117.335226, 98.710584
CSI_1110: 1.625, 121.991386, 112.679065
CSI_1111: 1.45, 121.991386, 121.991386
CSI_1112: 1.275, 0, 0
CSI_1113: 0.7, 0, 0
CSI_1114: 0.6, 0, 0
CSI_1115: 1.675, 112.679065, 108.022905
CSI_1116: 1.7, 108.022905, 108.022905
CSI_1117: 1.7, 94.054423, 94.054423
CSI_1118: 1.125, 0, 0
CSI_1119: 1.05, 0, 0
CSI_1120: 1.55, 112.679065, 103.366744
CSI_1121: 1, 0, 0
CSI_1122: 0.475, 126.647547, 108.022905
CSI_1123: 2.15, 89.398263, 84.742102
CSI_1124: 1, 0, 0
CSI_1202: 1.6, 145.272189, 140.616029
CSI_1203: 1.65, 140.616029, 140.616029
CSI_1204: 1.725, 163.896831, 154.58451
CSI_1205: 1, 0, 0
CSI_1206: 1.25, 84.742102, 117.335226
CSI_1207: 0.65, 80.085942, 135.959868
CSI_1208: 0.625, 112.679065, 112.679065
CSI_1209: 1.25, 117.335226, 108.022905
CSI_1210: 0.5, 89.398263, 154.58451
CSI_1211: 1.525, 121.991386, 117.335226
CSI_1212: 1.325, 80.085942, 121.991386
CSI_1213: 1.3, 108.022905, 103.366744
CSI_1214: 1, 0, 0
CSI_1215: 1.4, 140.616029, 140.616029
CSI_1216: 1.275, 0, 0
CSI_1217: 1.25, 145.272189, 149.92835
CSI_1218: 1, 0, 0
CSI_1219: 1.1, 117.335226, 117.335226
CSI_1220: 1.375, 103.366744, 103.366744
CSI_1221: 1, 0, 0
CSI_1222: 0.75, 0, 0
