###################################################################
# Scaling factors supplied by Silvia Piantelli to normalise E789
# light output to 2nd campaign light output: for alphas
# Currently this has been done for the 52 MeV/u data
###################################################################
RunList:          15000-45999 83000-127999
SignalIn:			TotLight
SignalOut:			ScaledTotLight
CalibType:			CsILightScaling
CalibOptions:		func=(x-[2])*[0]+[1],min=0,max=50000
ZRange:           2
CSI_0601: 1, 0, 0
CSI_0602: 0.95, 0, 0
CSI_0604: 1.525, 607.5, 741.260737
CSI_0605: 1.15, 0, 0
CSI_0606: 1, 0, 0
CSI_0607: 0.825, 0, 0
CSI_0608: 1.075, 0, 0
CSI_0610: 1.25, 0, 0
CSI_0611: 1.75, 159.240671, 140.616029
CSI_0613: 1.225, 0, 0
CSI_0614: 1.25, 0, 0
CSI_0615: 1, 0, 0
CSI_0616: 1.175, 0, 0
CSI_0617: 1.025, 0, 0
CSI_0618: 0.9, 0, 0
CSI_0619: 1, 0, 0
CSI_0620: 1.075, 0, 0
CSI_0621: 0.675, 0, 0
CSI_0623: 1.85, 0, 0
CSI_0624: 0.775, 0, 0
CSI_0701: 0.85, 0, 0
CSI_0702: 1.775, 0, 0
CSI_0703: 1, 0, 0
CSI_0704: 1, 0, 0
CSI_0705: 0.7, 0, 0
CSI_0706: 1.175, 0, 0
CSI_0707: 0.8, 0, 0
CSI_0708: 0.8, 0, 0
CSI_0709: 1.125, 0, 0
CSI_0710: 1.275, 0, 0
CSI_0711: 1.9, 0, 0
CSI_0712: 0.8, 50.51933, 155.999274
CSI_0713: 0.9, 0, 0
CSI_0714: 1, 0, 0
CSI_0715: 1, 0, 0
CSI_0716: 1.575, 0, 0
CSI_0717: 2.35, 54.623915, 111.411165
CSI_0718: 0.425, 47.492818, 215.114597
CSI_0719: 2.175, 42.836657, 89.398263
CSI_0720: 1.35, 0, 0
CSI_0721: 1, 0, 0
CSI_0722: 1, 0, 0
CSI_0723: 0.9, 0, 0
CSI_0724: 0.875, 0, 0
CSI_0801: 1.55, 0, 0
CSI_0802: 1.1, 0, 0
CSI_0803: 1, 0, 0
CSI_0804: 1, 0, 0
CSI_0805: 1, 0, 0
CSI_0806: 1.125, 0, 0
CSI_0807: 1.55, 0, 0
CSI_0808: 1, 0, 0
CSI_0810: 1.25, 0, 0
CSI_0811: 0.875, 0, 0
CSI_0812: 1.675, 117.335226, 112.679065
CSI_0813: 1.15, 0, 0
CSI_0814: 1, 0, 0
CSI_0815: 1, 0, 0
CSI_0816: 1.1, 0, 0
CSI_0818: 0.85, 0, 0
CSI_0819: 0.825, 0, 0
CSI_0820: 1.2, 0, 0
CSI_0821: 1.775, 0, 0
CSI_0822: 1, 0, 0
CSI_0823: 1.075, 38.180497, 142.082725
CSI_0824: 1, 0, 0
CSI_0901: 1, 0, 0
CSI_0902: 1.425, 147.5, 38.180497
CSI_0903: 1, 0, 0
CSI_0904: 1.675, 0, 0
CSI_0905: 1.25, 0, 0
CSI_0906: 1, 0, 0
CSI_0907: 2.125, 56.805139, 38.180497
CSI_0908: 2.025, 0, 0
CSI_0909: 1, 0, 0
CSI_0910: 1.725, 66.11746, 201.146115
CSI_0911: 1.55, 0, 0
CSI_0912: 1.65, 0, 0
CSI_0913: 1.925, 0, 0
CSI_0914: 2.375, 61.4613, 117.335226
CSI_0915: 1, 0, 0
CSI_0916: 0.7, 0, 0
CSI_0917: 1.7, 0, 0
CSI_0918: 1.525, 0, 0
CSI_0919: 1.6, 0, 0
CSI_0920: 1.925, 0, 0
CSI_0921: 1.925, 0, 0
CSI_0922: 1, 0, 0
CSI_0923: 2.15, 38.180497, 121.991386
CSI_0924: 2.225, 61.4613, 38.180497
CSI_1001: 2.8, 159.240671, 47.492818
CSI_1003: 2.4, 191.833794, 66.11746
CSI_1004: 1.425, 191.833794, 66.11746
CSI_1005: 1.875, 163.896831, 42.836657
CSI_1006: 1.8, 266.332363, 61.4613
CSI_1007: 2, 191.833794, 52.148979
CSI_1008: 2.825, 233.739239, 52.148979
CSI_1009: 2.075, 173.209152, 42.836657
CSI_1011: 1.575, 191.833794, 56.805139
CSI_1012: 2.425, 149.92835, 66.11746
CSI_1013: 1.575, 191.833794, 56.805139
CSI_1014: 2.8, 187.177634, 47.492818
CSI_1016: 1.95, 210.458436, 52.148979
CSI_1017: 1.525, 159.240671, 52.148979
CSI_1018: 3.5, 182.521473, 52.148979
CSI_1019: 2.525, 215.114597, 42.836657
CSI_1020: 1.875, 168.552992, 61.4613
CSI_1021: 1.475, 238.3954, 56.805139
CSI_1022: 3.025, 225.816611, 42.936952
CSI_1023: 3.05, 149.92835, 33.524336
CSI_1024: 2.8, 187.177634, 47.492818
CSI_1101: 1.9, 201.146115, 56.805139
CSI_1102: 5.55, 378.080215, 66.11746
CSI_1104: 2.1, 168.552992, 70.773621
CSI_1105: 0.775, 210.458436, 70.773621
CSI_1106: 1.425, 191.833794, 66.11746
CSI_1107: 0.675, 275.644684, 89.398263
CSI_1108: 1.65, 210.458436, 52.148979
CSI_1109: 2.4, 387.392537, 42.836657
CSI_1110: 1.75, 224.426918, 66.11746
CSI_1111: 1.8, 140.616011, 61.4613
CSI_1112: 2.225, 303.581647, 70.773621
CSI_1113: 1.5, 270.988523, 75.429781
CSI_1114: 0.9, 163.896831, 66.11746
CSI_1115: 4.05, 277.936959, 52.292257
CSI_1116: 1.95, 168.552992, 52.148979
CSI_1117: 2.225, 108.022905, 61.4613
CSI_1118: 1.8, 252.363881, 61.4613
CSI_1119: 2.1, 219.770758, 42.836657
CSI_1120: 3.1, 215.114597, 38.180497
CSI_1121: 1.225, 94.054423, 42.836657
CSI_1122: 1.6, 252.363881, 61.4613
CSI_1123: 3.475, 326.86245, 42.836657
CSI_1124: 1.875, 257.020042, 52.148979
CSI_1202: 2.4, 215.114597, 84.742102
CSI_1203: 2.85, 210.458436, 61.4613
CSI_1204: 2.3, 238.3954, 103.366744
CSI_1205: 1.125, 168.552992, 94.054423
